nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
304002,303098.0,303005.0,303086.0,303085.0,,,1.0,10.0,10.0,10.0,,,44.0,2.0
304003,303099.0,,,,,,1.0,,,,,,81.0,1.0
303099,304003.0,,,,,,1.0,,,,,,72.0,2.0
304044,,,,,,,,,,,,,60.0,1.0
304005,304006.0,304045.0,304011.0,304024.0,,,1.0,10.0,10.0,10.0,,,70.0,1.0
304006,304005.0,,,,,,1.0,,,,,,65.0,2.0
304007,304045.0,303006.0,303051.0,403013.0,403098.0,403243.0,1.0,10.0,10.0,11.0,11.0,11.0,71.0,2.0
304045,304007.0,,,,,,1.0,,,,,,70.0,1.0
304008,304009.0,400305.0,400306.0,,,,1.0,11.0,11.0,,,,66.0,1.0
304009,304008.0,400307.0,400308.0,,,,1.0,11.0,11.0,,,,60.0,2.0
304010,304011.0,304020.0,304024.0,403115.0,403007.0,304019.0,1.0,10.0,10.0,11.0,11.0,10.0,64.0,2.0
304011,304010.0,,,,,,1.0,,,,,,67.0,1.0
304013,,304028.0,304063.0,304064.0,,,,10.0,10.0,5.0,,,77.0,2.0
304053,304015.0,,,,,,1.0,,,,,,78.0,2.0
304015,304053.0,304003.0,,,,,1.0,11.0,,,,,82.0,1.0
304046,304018.0,304026.0,304030.0,,,,1.0,10.0,10.0,,,,75.0,1.0
304018,304046.0,306056.0,304054.0,,,,1.0,8.0,11.0,,,,74.0,2.0
304019,304020.0,304050.0,403090.0,403167.0,,,1.0,9.0,9.0,9.0,,,64.0,2.0
304020,304019.0,,,,,,1.0,,,,,,68.0,1.0
304047,304021.0,402312.0,402311.0,,,,1.0,9.0,9.0,,,,67.0,2.0
304021,304047.0,,,,,,1.0,,,,,,72.0,1.0
304022,304023.0,403119.0,,,,,1.0,5.0,,,,,65.0,1.0
304023,304022.0,310047.0,403031.0,403072.0,403249.0,310063.0,1.0,11.0,11.0,11.0,11.0,11.0,61.0,2.0
304024,304025.0,400312.0,400313.0,304011.0,304005.0,305072.0,1.0,15.0,15.0,10.0,10.0,10.0,67.0,1.0
304025,304024.0,403268.0,403135.0,403034.0,403154.0,403174.0,1.0,11.0,11.0,11.0,11.0,11.0,59.0,2.0
304026,304027.0,304030.0,304003.0,304015.0,304011.0,,1.0,9.0,9.0,10.0,8.0,,78.0,1.0
304027,304026.0,,,,,,1.0,,,,,,78.0,2.0
304028,,304032.0,,,,,,10.0,,,,,81.0,2.0
304029,,304023.0,304022.0,304066.0,304067.0,,,10.0,10.0,10.0,10.0,,69.0,1.0
304030,304031.0,304061.0,,,,,1.0,5.0,,,,,77.0,1.0
304031,304030.0,304061.0,,,,,1.0,5.0,,,,,73.0,2.0
304032,304033.0,304028.0,,,,,1.0,10.0,,,,,67.0,2.0
304033,304032.0,400315.0,400316.0,,,,1.0,11.0,11.0,,,,71.0,1.0
304048,,,,,,,,,,,,,93.0,2.0
304034,,304023.0,402144.0,403228.0,,,,10.0,5.0,5.0,,,70.0,2.0
305003,305004.0,402146.0,403356.0,403357.0,403358.0,403359.0,1.0,11.0,11.0,11.0,11.0,11.0,78.0,1.0
305004,305003.0,305030.0,305026.0,,,,1.0,10.0,10.0,,,,73.0,2.0
305005,305006.0,400328.0,400325.0,400327.0,400326.0,,1.0,5.0,5.0,5.0,5.0,,74.0,2.0
305057,,305028.0,305027.0,,,,,10.0,10.0,,,,68.0,1.0
305007,305008.0,305036.0,305037.0,305011.0,305021.0,,1.0,10.0,10.0,10.0,10.0,,69.0,2.0
305008,305007.0,305072.0,,,,,1.0,9.0,,,,,78.0,1.0
305009,305010.0,305076.0,305070.0,305071.0,305017.0,305075.0,1.0,10.0,10.0,10.0,10.0,10.0,66.0,1.0
305010,305009.0,305061.0,305014.0,305036.0,305032.0,305060.0,1.0,10.0,11.0,11.0,11.0,11.0,59.0,2.0
305011,305012.0,305073.0,400332.0,400331.0,400330.0,305022.0,1.0,9.0,5.0,5.0,5.0,9.0,77.0,2.0
305012,305011.0,403209.0,403014.0,305029.0,305072.0,400367.0,1.0,11.0,11.0,10.0,10.0,11.0,80.0,1.0
305013,,305032.0,305037.0,305084.0,305043.0,305060.0,,9.0,9.0,9.0,11.0,9.0,72.0,2.0
305071,305014.0,305070.0,305009.0,305076.0,305075.0,,1.0,10.0,10.0,10.0,10.0,,62.0,1.0
305014,305071.0,305080.0,305036.0,305087.0,303167.0,403057.0,1.0,10.0,10.0,10.0,10.0,10.0,54.0,2.0
305015,305016.0,402148.0,402149.0,403138.0,,,1.0,10.0,10.0,10.0,,,65.0,1.0
305016,305015.0,303042.0,303165.0,303036.0,,,1.0,12.0,12.0,12.0,,,60.0,2.0
305017,305018.0,403042.0,400348.0,403048.0,400349.0,403023.0,1.0,8.0,5.0,9.0,5.0,8.0,64.0,1.0
305019,305020.0,400354.0,400353.0,,,,1.0,5.0,5.0,,,,77.0,2.0
305020,305019.0,,,,,,1.0,,,,,,80.0,1.0
305021,305072.0,402323.0,400358.0,305061.0,305083.0,305096.0,1.0,9.0,5.0,9.0,10.0,9.0,70.0,2.0
305072,305021.0,305023.0,305042.0,,,,1.0,10.0,10.0,,,,76.0,1.0
305022,305023.0,305085.0,305033.0,305021.0,,,1.0,10.0,10.0,10.0,,,70.0,2.0
305023,305022.0,,,,,,1.0,,,,,,75.0,1.0
305025,305026.0,305047.0,,,,,1.0,11.0,,,,,74.0,1.0
305026,305025.0,305030.0,305004.0,305021.0,305005.0,305098.0,1.0,9.0,10.0,10.0,10.0,10.0,68.0,2.0
305070,305073.0,,,,,,1.0,,,,,,63.0,1.0
305073,305070.0,305013.0,305037.0,402150.0,,,1.0,9.0,10.0,5.0,,,62.0,2.0
305074,305027.0,,,,,,1.0,,,,,,77.0,2.0
305027,305074.0,305072.0,305003.0,305028.0,305094.0,305008.0,1.0,10.0,10.0,10.0,10.0,10.0,79.0,1.0
305028,,400365.0,403041.0,403033.0,403032.0,403036.0,,5.0,5.0,5.0,5.0,5.0,77.0,1.0
305029,305030.0,,,,,,1.0,,,,,,79.0,1.0
305030,305029.0,305004.0,305026.0,,,,1.0,11.0,11.0,,,,71.0,2.0
305031,,305088.0,305083.0,,,,,5.0,6.0,,,,83.0,2.0
305075,305032.0,403037.0,305076.0,305070.0,403039.0,305071.0,1.0,5.0,10.0,10.0,5.0,10.0,64.0,1.0
305032,305075.0,305013.0,305037.0,305060.0,305014.0,305083.0,1.0,10.0,10.0,10.0,10.0,10.0,61.0,2.0
305033,,305013.0,305037.0,305010.0,,,,11.0,11.0,9.0,,,74.0,2.0
305053,305092.0,403257.0,403077.0,403084.0,403066.0,403078.0,1.0,11.0,11.0,11.0,11.0,5.0,62.0,1.0
305076,305036.0,305075.0,305070.0,305009.0,305071.0,305072.0,1.0,10.0,10.0,10.0,10.0,10.0,64.0,1.0
305036,305076.0,400372.0,400373.0,,,,1.0,5.0,5.0,,,,62.0,2.0
305037,,305032.0,305013.0,305007.0,305093.0,305096.0,,10.0,9.0,9.0,10.0,9.0,65.0,2.0
305038,305039.0,305042.0,305072.0,301025.0,305027.0,403118.0,1.0,10.0,9.0,11.0,11.0,11.0,77.0,1.0
305039,305038.0,400378.0,,,,,1.0,5.0,,,,,75.0,2.0
305040,305041.0,,,,,,1.0,,,,,,83.0,1.0
305041,305040.0,,,,,,1.0,,,,,,79.0,2.0
305042,305043.0,305072.0,305038.0,305027.0,305025.0,305076.0,1.0,10.0,10.0,10.0,10.0,10.0,75.0,1.0
305043,305042.0,305037.0,305013.0,,,,1.0,10.0,10.0,,,,72.0,2.0
305044,305045.0,309067.0,403144.0,402153.0,403181.0,403171.0,1.0,11.0,11.0,8.0,11.0,11.0,67.0,2.0
305045,305044.0,403278.0,403244.0,403025.0,,,1.0,11.0,11.0,11.0,,,65.0,1.0
305055,,305091.0,,,,,,5.0,,,,,66.0,1.0
305046,305047.0,400392.0,,,,,1.0,11.0,,,,,70.0,2.0
305047,305046.0,302005.0,403172.0,305029.0,305025.0,,1.0,12.0,12.0,10.0,10.0,,72.0,1.0
305048,305049.0,400394.0,400396.0,400395.0,403283.0,403114.0,1.0,8.0,8.0,8.0,9.0,9.0,64.0,2.0
305049,305048.0,400394.0,400395.0,400396.0,,,1.0,9.0,9.0,9.0,,,71.0,1.0
305052,,305056.0,,,,,,9.0,,,,,87.0,2.0
305056,,305052.0,,,,,,11.0,,,,,86.0,2.0
306001,306002.0,,,,,,1.0,,,,,,65.0,2.0
306002,306001.0,306004.0,306003.0,306023.0,306043.0,306009.0,1.0,11.0,11.0,11.0,11.0,11.0,81.0,1.0
306003,306004.0,306133.0,402158.0,306147.0,403056.0,,1.0,5.0,5.0,6.0,6.0,,63.0,2.0
